Date,Price
2025-01-01,99.41
2025-01-02,74.26
2025-01-03,87.63
2025-01-04,75.46
2025-01-05,70.43
2025-01-06,56.46
2025-01-07,91.7
2025-01-08,92.59
2025-01-09,56.35
2025-01-10,66.05
2025-01-11,69.72
2025-01-12,85.49
2025-01-13,84.18
2025-01-14,95.6
2025-01-15,79.01
2025-01-16,92.9
2025-01-17,63.1
2025-01-18,56.19
2025-01-19,96.07
2025-01-20,86.04
2025-01-21,65.42
2025-01-22,72.21
2025-01-23,68.16
2025-01-24,89.07
2025-01-25,97.55
2025-01-26,54.83
2025-01-27,71.66
2025-01-28,84.92
2025-01-29,72.31
2025-01-30,52.44
