Date,Price
2025-01-01,773.76
2025-01-02,765.58
2025-01-03,719.58
2025-01-04,735.73
2025-01-05,778.52
2025-01-06,700.09
2025-01-07,795.21
2025-01-08,708.49
2025-01-09,720.23
2025-01-10,770.22
2025-01-11,743.83
2025-01-12,779.47
2025-01-13,708.54
2025-01-14,705.61
2025-01-15,774.59
2025-01-16,796.71
2025-01-17,742.5
2025-01-18,787.98
2025-01-19,799.17
2025-01-20,756.53
2025-01-21,799.43
2025-01-22,703.71
2025-01-23,780.06
2025-01-24,741.92
2025-01-25,796.76
2025-01-26,706.3
2025-01-27,753.19
2025-01-28,786.15
2025-01-29,783.84
2025-01-30,770.95
