Date,Price
2025-01-01,1223.86
2025-01-02,1211.78
2025-01-03,1209.47
2025-01-04,1253.71
2025-01-05,1228.74
2025-01-06,1263.98
2025-01-07,1236.52
2025-01-08,1250.04
2025-01-09,1216.12
2025-01-10,1206.49
2025-01-11,1273.38
2025-01-12,1280.22
2025-01-13,1222.66
2025-01-14,1275.61
2025-01-15,1249.21
2025-01-16,1244.96
2025-01-17,1240.59
2025-01-18,1260.93
2025-01-19,1222.81
2025-01-20,1296.9
2025-01-21,1297.84
2025-01-22,1202.91
2025-01-23,1285.95
2025-01-24,1206.16
2025-01-25,1233.83
2025-01-26,1278.77
2025-01-27,1273.72
2025-01-28,1213.02
2025-01-29,1203.16
2025-01-30,1274.21
