Date,Price
2025-01-01,916.16
2025-01-02,996.84
2025-01-03,940.01
2025-01-04,938.06
2025-01-05,911.23
2025-01-06,972.51
2025-01-07,963.2
2025-01-08,924.09
2025-01-09,933.34
2025-01-10,955.18
2025-01-11,910.24
2025-01-12,975.71
2025-01-13,908.31
2025-01-14,992.98
2025-01-15,936.25
2025-01-16,959.55
2025-01-17,963.3
2025-01-18,965.68
2025-01-19,971.67
2025-01-20,992.32
2025-01-21,919.47
2025-01-22,999.09
2025-01-23,968.36
2025-01-24,927.01
2025-01-25,964.5
2025-01-26,943.41
2025-01-27,995.69
2025-01-28,954.69
2025-01-29,936.06
2025-01-30,979.01
